code,sampling_date,sample_description,sample_description_old,planting_date,lat,long,toc,soc_stock,soc_stock_unit,depth,bd,LC1_Desc
36702532,2018-07-10,31409c02-0735-48f9-b349-17c44ba298c9,0fd35546-9f0b-494e-bc7b-3e6789b66235,2015-07-10,45.57182077,1.65230356,30.6,29.224804176000006,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
36703150,2018-06-12,ac64110a-edac-4b0d-9686-34e87432732b,1ae55e1c-a26b-481a-bb79-f04df540596e,2015-06-12,51.08700038,0.679819296,21.8,20.29095604,tC/acre,0.2,1.15,Grassland without tree/shrub cover
36722152,2018-08-23,b7087546-aba1-47b1-b944-d7bea0e7e471,6a5a6824-a447-4274-a6ac-75b4aca73500,2015-08-23,42.16820189,2.157328875,36.2,34.57313435200001,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
36722386,2018-05-23,d007290c-52e2-4ec7-8bb5-06c881e9ec22,9e13d249-64f1-463b-89d2-f2e830885b9f,2015-05-23,44.26680876,1.870976416,55.6,53.10127817600001,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
36742492,2018-05-09,5e5425d0-86ed-4d96-918f-57d7bdf86915,7aeaeb16-ab55-4b14-928b-defd0d64cc09,2015-05-09,45.2179064,1.757186689,30.9,32.049795736200004,tC/acre,0.2,1.2815,Grassland without tree/shrub cover
36782654,2018-08-13,3478ec78-4859-4903-87cf-db366f0944c5,a96fd593-4027-4ce5-b375-659d25ab1a1a,2015-08-13,46.67086803,1.58479706,12.3,11.747225208000003,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
36822426,2018-06-04,9c35d342-6825-4b64-8b55-5231d732bbf7,b23cc7e4-b0f3-4bb8-8b49-50355e883e6b,2015-06-04,44.63484615,1.944425364,22.5,18.11981565,tC/acre,0.2,0.995,Temporary grassland
36822720,2018-09-07,01f6db35-796c-487e-970e-d351c59a7f8f,ef3a237d-10fe-481c-861d-288e86fc681d,2015-09-07,47.26476111,1.541913974,21.5,20.533767640000004,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
36842170,2018-05-24,f19e691c-0525-4fc0-9806-d28ee4dc4724,38c869bf-4724-414c-82e0-c275f5a19346,2015-05-24,42.34099921,2.280800881,47.5,45.365300600000005,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
36842746,2018-09-05,de38722d-c78d-410b-baaa-1581a4113b00,9fe3e6d1-46a1-4543-b62f-b77b67ae3145,2015-09-05,47.49909355,1.530177975,11.6,11.078683936000004,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
36862148,2018-07-16,94dc194b-2abb-4dc3-859c-2d01f78c94e4,fc6642da-cf53-4882-9511-f8d10ab2345b,2015-07-16,42.14527113,2.330093508,31.8,30.37087492800001,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
36862396,2018-08-13,4a8665fa-203c-4315-a36b-97f2b8103a63,e426164d-c8f5-4251-9442-831d89eda4de,2015-08-13,44.36995612,2.032607937,51.2,43.2631996416,tC/acre,0.2,1.044,Grassland without tree/shrub cover
36882370,2018-07-03,487ed864-ce55-431a-8af5-d7abec4aadaf,dfaea22b-615f-4466-8591-a6fb6a24fb47,2015-07-03,44.13887779,2.090067383,39.2,37.43831123200002,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
36882384,2018-08-20,9f5b5e46-77e4-4b8e-b8f0-f54e320534ad,07ef38a5-5a9d-486e-94ff-de7f9b2d36b2,2015-08-20,44.26434248,2.072597021,36.0,33.72653124000001,tC/acre,0.2,1.1575,Grassland without tree/shrub cover
36882640,2018-07-12,89c951cd-50a0-454c-ab14-a4858e7ac297,21abde5d-1281-47b3-ab7f-8414e474e8a7,2015-07-12,46.55580945,1.734304269,53.1,31.438153315800008,tC/acre,0.2,0.7315,Grassland without tree/shrub cover
36922448,2018-08-20,ebaf26bb-b123-424a-bd20-2f62907940c9,2264719f-8244-413b-8129-4c870d53103d,2015-08-20,44.84153839,2.041701621,24.0,22.921415040000007,tC/acre,0.2,1.1800000000000002,Temporary grassland
36942362,2018-07-03,66c38228-e29c-4119-af22-d7b5a1d63c75,4a7ae1b0-d097-43a2-9422-f48edf17a947,2015-07-03,44.07284907,2.174422183,17.0,16.236002320000004,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
36962384,2018-08-19,facb31e6-bc51-4548-b889-1c9937febfa3,8a94ffea-40ce-446f-89b3-80ccb8d47be2,2015-08-19,44.27192447,2.172160465,53.4,45.2518266456,tC/acre,0.2,1.047,Grassland without tree/shrub cover
36982170,2018-07-13,eb41c7ca-1ba3-4981-b7cb-c42b8d58f86f,d6293d84-d877-467f-aa78-5d27e077615b,2015-07-13,42.35379316,2.44949953,44.1,42.11810013600001,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
36982404,2018-08-08,6b4656f4-c130-4df6-b521-db6a4eee2487,7e437a63-bd25-4f8a-8cfb-090342751e68,2015-08-08,44.45304684,2.172307568,29.7,27.752273227800003,tC/acre,0.2,1.1545,Grassland without tree/shrub cover
37002426,2018-06-06,14b6bf0c-f811-47b2-8436-f2f861224000,6ea5273b-7953-4521-a15a-d8490f4d587a,2015-06-06,44.65206442,2.169905551,11.8,12.1579005608,tC/acre,0.2,1.273,Grassland without tree/shrub cover
37002606,2018-09-10,a3c3eaf4-4ded-4bc1-9a03-2b339ccf5411,b8a2fd94-acc1-499f-922b-ed11ac2f50e4,2015-09-10,46.26358017,1.936118555,32.2,26.100871067600007,tC/acre,0.2,1.0015,Grassland without tree/shrub cover
37022386,2018-05-28,91ba2022-c8c4-4392-90eb-19280c7dedaa,7ff1391a-08bb-4a70-bcfd-954548c63d06,2015-05-28,44.29547533,2.244398493,26.8,27.37425603520001,tC/acre,0.2,1.262,Grassland without tree/shrub cover
37022614,2018-09-10,41df0a75-2999-49a1-a6ea-23e205fec2f4,77ae69b4-e1e5-466c-a0e5-e01679fe949b,2015-09-10,46.33709773,1.951133438,47.7,45.55631239200002,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37042554,2018-09-18,25a89c29-34c0-49cc-ad32-c4caba469390,9f5828f0-49a3-4a7e-969f-eb85429b1468,2015-09-18,45.80213477,2.056660948,18.6,18.6824101272,tC/acre,0.2,1.241,Temporary grassland
37062618,2018-09-14,b6214974-1613-4bcc-825d-b2f988048bc6,544ec1f8-b901-4e24-bf06-3afafa88d464,2015-09-14,46.37676716,1.99742524,66.4,63.415914944000015,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37082380,2018-05-28,bc422b8b-1e24-4c4c-8a6f-61717fd4c54e,24f05406-9412-47d2-a3a7-01880af29cb6,2015-05-28,44.24725936,2.326397519,20.8,20.51337146560001,tC/acre,0.2,1.2185,Grassland without tree/shrub cover
37102474,2018-07-18,e9d8954c-06c4-4a6a-9639-a37b0f26d6b6,edbae8e6-c81d-4a7d-9a61-f8b8d4e322b0,2015-07-18,45.09148445,2.235565997,42.4,40.494499904,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37102564,2018-09-18,80102c50-cad3-4923-89e2-c94cb4bb8e6a,4af1b51e-521f-4b7d-945a-08503b7e2368,2015-09-18,45.89737948,2.120389607,58.9,44.74018213580001,tC/acre,0.2,0.9385,Grassland without tree/shrub cover
37122992,2018-07-30,3932c189-1f39-4ef2-b00c-64acc44603fa,4a303c38-d7e2-48a3-9734-84f65e0709ac,2015-07-30,49.72427222,1.533718711,52.6,43.0199833556,tC/acre,0.2,1.0105,Grassland without tree/shrub cover
37182570,2018-09-19,afcc9e64-a8f4-47a2-957b-c55a3ca16071,e3e3a5cb-47e9-490c-82e4-2180a6a6285b,2015-09-19,45.95866222,2.21516839,23.6,22.539391456000004,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37202494,2018-07-19,4aa55aeb-e0de-4e44-87dc-1a96022632e9,8b970185-b96e-491a-88f7-53bf32478022,2015-07-19,45.27994719,2.337062332,61.2,58.44960835200001,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
