code,sampling_date,local_path
28562034,2015-08-06,../embeddings/output/store_location_test_script_lucas_toc/28562034_2015-08-06.csv
28581744,2015-06-28,../embeddings/output/store_location_test_script_lucas_toc/28581744_2015-06-28.csv
28621900,2015-08-07,../embeddings/output/store_location_test_script_lucas_toc/28621900_2015-08-07.csv
28622164,2015-06-06,../embeddings/output/store_location_test_script_lucas_toc/28622164_2015-06-06.csv
28642024,2015-08-07,../embeddings/output/store_location_test_script_lucas_toc/28642024_2015-08-07.csv
28642160,2015-06-06,../embeddings/output/store_location_test_script_lucas_toc/28642160_2015-06-06.csv
28642168,2015-06-08,../embeddings/output/store_location_test_script_lucas_toc/28642168_2015-06-08.csv
28642186,2015-08-07,../embeddings/output/store_location_test_script_lucas_toc/28642186_2015-08-07.csv
28642240,2015-07-27,../embeddings/output/store_location_test_script_lucas_toc/28642240_2015-07-27.csv
28642250,2015-07-25,../embeddings/output/store_location_test_script_lucas_toc/28642250_2015-07-25.csv
28642352,2015-07-30,../embeddings/output/store_location_test_script_lucas_toc/28642352_2015-07-30.csv
28681916,2015-08-08,../embeddings/output/store_location_test_script_lucas_toc/28681916_2015-08-08.csv
28682136,2015-06-04,../embeddings/output/store_location_test_script_lucas_toc/28682136_2015-06-04.csv
28682298,2015-06-19,../embeddings/output/store_location_test_script_lucas_toc/28682298_2015-06-19.csv
28682348,2015-07-30,../embeddings/output/store_location_test_script_lucas_toc/28682348_2015-07-30.csv
28721896,2015-08-07,../embeddings/output/store_location_test_script_lucas_toc/28721896_2015-08-07.csv
28722000,2015-05-21,../embeddings/output/store_location_test_script_lucas_toc/28722000_2015-05-21.csv
28722138,2015-06-04,../embeddings/output/store_location_test_script_lucas_toc/28722138_2015-06-04.csv
28722216,2015-04-30,../embeddings/output/store_location_test_script_lucas_toc/28722216_2015-04-30.csv
28742142,2015-06-05,../embeddings/output/store_location_test_script_lucas_toc/28742142_2015-06-05.csv
28742214,2015-08-01,../embeddings/output/store_location_test_script_lucas_toc/28742214_2015-08-01.csv
28742340,2015-07-31,../embeddings/output/store_location_test_script_lucas_toc/28742340_2015-07-31.csv
28742344,2015-07-31,../embeddings/output/store_location_test_script_lucas_toc/28742344_2015-07-31.csv
28742448,2015-06-18,../embeddings/output/store_location_test_script_lucas_toc/28742448_2015-06-18.csv
28762036,2015-08-08,../embeddings/output/store_location_test_script_lucas_toc/28762036_2015-08-08.csv
28762162,2015-06-07,../embeddings/output/store_location_test_script_lucas_toc/28762162_2015-06-07.csv
28762194,2015-08-07,../embeddings/output/store_location_test_script_lucas_toc/28762194_2015-08-07.csv
28782172,2015-08-08,../embeddings/output/store_location_test_script_lucas_toc/28782172_2015-08-08.csv
28782298,2015-07-21,../embeddings/output/store_location_test_script_lucas_toc/28782298_2015-07-21.csv
28782334,2015-05-24,../embeddings/output/store_location_test_script_lucas_toc/28782334_2015-05-24.csv
28782384,2015-05-16,../embeddings/output/store_location_test_script_lucas_toc/28782384_2015-05-16.csv
28821992,2015-05-26,../embeddings/output/store_location_test_script_lucas_toc/28821992_2015-05-26.csv
28822226,2015-07-26,../embeddings/output/store_location_test_script_lucas_toc/28822226_2015-07-26.csv
28842188,2015-08-08,../embeddings/output/store_location_test_script_lucas_toc/28842188_2015-08-08.csv
28842386,2015-05-16,../embeddings/output/store_location_test_script_lucas_toc/28842386_2015-05-16.csv
28861884,2015-08-07,../embeddings/output/store_location_test_script_lucas_toc/28861884_2015-08-07.csv
28882080,2015-07-22,../embeddings/output/store_location_test_script_lucas_toc/28882080_2015-07-22.csv
28882422,2015-06-02,../embeddings/output/store_location_test_script_lucas_toc/28882422_2015-06-02.csv
28902018,2015-06-01,../embeddings/output/store_location_test_script_lucas_toc/28902018_2015-06-01.csv
28902148,2015-06-12,../embeddings/output/store_location_test_script_lucas_toc/28902148_2015-06-12.csv
28902174,2015-08-08,../embeddings/output/store_location_test_script_lucas_toc/28902174_2015-08-08.csv
28902202,2015-08-09,../embeddings/output/store_location_test_script_lucas_toc/28902202_2015-08-09.csv
28922062,2015-06-02,../embeddings/output/store_location_test_script_lucas_toc/28922062_2015-06-02.csv
28922404,2015-05-23,../embeddings/output/store_location_test_script_lucas_toc/28922404_2015-05-23.csv
28941636,2015-07-18,../embeddings/output/store_location_test_script_lucas_toc/28941636_2015-07-18.csv
28941730,2015-06-20,../embeddings/output/store_location_test_script_lucas_toc/28941730_2015-06-20.csv
28941888,2015-08-06,../embeddings/output/store_location_test_script_lucas_toc/28941888_2015-08-06.csv
28942306,2015-05-31,../embeddings/output/store_location_test_script_lucas_toc/28942306_2015-05-31.csv
28961740,2015-06-20,../embeddings/output/store_location_test_script_lucas_toc/28961740_2015-06-20.csv
28961916,2015-08-01,../embeddings/output/store_location_test_script_lucas_toc/28961916_2015-08-01.csv
28962042,2015-06-23,../embeddings/output/store_location_test_script_lucas_toc/28962042_2015-06-23.csv
28962222,2015-08-17,../embeddings/output/store_location_test_script_lucas_toc/28962222_2015-08-17.csv
28962240,2015-07-26,../embeddings/output/store_location_test_script_lucas_toc/28962240_2015-07-26.csv
